time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.07583743852e-07,3.35366095261e-07,10.0035990916,0.000302746070735,0.000116124955137,0.0,-9.95018689679e-06,2.8685300933e-05,0.119963891873,0.0135970948427,0.00554985386073,0.0,443.77043209649725,444.22563536065337,441.8183213895576,442.9376723746155
0.12000000000000001,-5.68063264738e-06,1.41881482085e-05,10.0185154703,0.000569659264139,0.00079039131238,0.0,-0.000241309140689,0.000519742249454,0.377198795545,-0.0288984567488,0.0207007369203,0.0,483.34724411713495,484.4874058841924,486.19874288335984,483.0049820930983
0.18,-4.10653281377e-05,5.10600437254e-05,10.0439470452,6.28251782317,0.00162590184985,0.0,-0.0010487378088,0.000563006337546,0.470485878697,-0.00777873690484,-0.00522826993746,0.0,435.9588647928851,433.7872300483726,434.10266362737434,435.87093012719214
0.23999999999999996,-0.000133756136757,7.06949265777e-05,10.0731961766,6.28193262922,0.00176117542461,0.0,-0.00203557655079,4.32906232985e-05,0.504470463257,-0.0140276295443,0.0141058888632,0.0,414.91652644646985,416.6101960464425,415.8471546217596,415.2996100259147
0.3,-0.000298185237388,4.22079336214e-05,10.1078497449,6.28104270221,0.0026287212929,0.0,-0.00353853050094,-0.00108692727254,0.650575818566,-0.0164916205783,0.0151562963006,0.0,451.9271901377785,452.01172336377596,451.29057510345933,451.0917840106165
0.36000000000000004,-0.000557333235199,-6.1483803477e-05,10.1459033056,6.28040069909,0.0037679074025,0.0,-0.005184916241,-0.00243506427824,0.617894363265,-0.00109305193675,0.02571677416,0.0,393.144151052311,394.12128591151617,391.64949000403936,393.0789625407556
0.4200000000000001,-0.000970955524266,-0.000278289156658,10.1905973636,6.27995375513,0.00536843687943,0.0,-0.00879806343246,-0.00481742653316,0.871747739335,-0.0248742514268,0.0285268601667,0.0,484.5795785164852,484.7908335248821,483.5877381334426,481.79341170912943
0.48000000000000015,-0.00162418370014,-0.000644471488942,10.2473070136,6.27869735969,0.00691210643954,0.0,-0.0131535604185,-0.00753686401245,1.01845275511,-0.014048588163,0.0194429183337,0.0,452.7801118058695,452.0489113515587,451.6833589420584,452.5554585068729
0.5400000000000001,-0.00256453085211,-0.0011951751431,10.3119583892,6.27781674703,0.00769739153962,0.0,-0.0182976511335,-0.0109095789341,1.1364816031,-0.015963979662,-0.00433168245352,0.0,445.5418422079247,443.59396516495104,442.8010071439827,442.6435345318303
0.6000000000000002,-0.00382911871987,-0.00197065497275,10.3842844407,6.27681951215,0.00743905930694,0.0,-0.0238263218867,-0.0150440917509,1.27424268657,-0.0179671504529,-0.00425329509763,0.0,449.67402545467,449.68045509506766,450.4584622848419,450.2965517497369
0.6600000000000003,-0.00542274221542,-0.00301867298319,10.4652844911,6.27608209912,0.00699955768777,0.0,-0.029256044662,-0.0199860898403,1.42558194921,-0.00284278581244,-0.014311773745,0.0,454.7336149134226,453.9273488842216,454.0935917936452,455.30521100717874
0.7200000000000003,-0.00733102955448,-0.00437682352729,10.5554611217,6.2760391813,0.0064479655463,0.0,-0.0342763233086,-0.0252955958755,1.58010527063,0.0032324493815,-0.00053715922426,0.0,454.5622671202999,455.66477943326316,456.3840221626203,456.86863717676965
0.7800000000000004,-0.00956105549116,-0.00608535689157,10.6595445891,6.27669956473,0.00612914315284,0.0,-0.0400347214533,-0.0315911342694,1.88888688975,0.0232239454165,-0.0171738042248,0.0,501.69703799023705,500.48783713007214,500.42481588319345,501.87768312279576
0.8400000000000004,-0.0120896274681,-0.0081131296261,10.7764510451,6.27799939317,0.00542648457863,0.0,-0.0441609320885,-0.0358587762726,2.00779505212,0.0183455321593,-0.00256416298639,0.0,446.53216903716685,447.7224250570194,445.71378602629795,445.3149423843446
0.9000000000000005,-0.0148371139704,-0.0103550719003,10.8973885003,6.27882581622,0.00512254708818,0.0,-0.0474018467038,-0.0387844367768,2.02342639633,0.00255167438827,-0.0106079592365,0.0,414.2293585380568,413.5215103885456,413.4765414990518,412.0827551474292
0.9600000000000005,-0.0177830874944,-0.0127698674431,11.0213645123,6.27869847889,0.00496344781775,0.0,-0.0507602929579,-0.0417046371215,2.10895353159,-0.0136614019801,0.00979324648285,0.0,435.49333671246114,437.1964202823875,436.9083864860253,435.5546508064743
1.0200000000000005,-0.0209317024153,-0.0153660513036,11.1505423827,6.27816144793,0.00519493360337,0.0,-0.0542377201116,-0.0449006836864,2.19681001363,-0.00088828314071,-0.0119543053466,0.0,438.3220811926155,436.51106166299485,436.78606232755703,437.8500691763028
1.0800000000000005,-0.0242967005322,-0.0181685938823,11.2865500101,6.27910011116,0.00449039624337,0.0,-0.0578509029343,-0.0484555691866,2.33650335963,0.0368446687075,-0.0113215978554,0.0,453.82592304204445,453.876829213301,452.46616919301727,455.4936659877321
1.1400000000000006,-0.0278510981771,-0.0211459448833,11.4281394074,6.2814331494,0.00337909040822,0.0,-0.0605507179889,-0.0505752327869,2.38304853014,0.042678012888,-0.039570141698,0.0,426.3677107365861,423.94741302909904,424.58034183230944,425.0813253761504
1.2000000000000006,-0.0315448387756,-0.0242069003541,11.5740270932,0.000496954088391,0.00114747842204,0.0,-0.0623402045795,-0.0512095611795,2.47967108768,0.0242824676199,-0.0328209894674,0.0,441.93132903335396,442.4866056850322,441.1571311469274,439.63626426009137
